#EffectorID	Species	Value1	Value2	Value3	Value4
effector_0	species_0	58.8	35.4	1	0
effector_0	species_1	69	36.7	2	0
effector_0	species_2	68.4	83	3	0
effector_0	species_3	75	4.1	4	0
effector_0	species_4	94.7	67.8	5	0
effector_0	species_5	19.8	6.3	6	0
effector_0	species_6	40.1	65.4	7	0
effector_0	species_7	8	12.3	8	0
effector_0	species_8	5.3	44.5	9	0
effector_0	species_9	54.7	42.9	10	0
effector_0	species_10	10.7	12.6	11	0
effector_0	species_11	26.3	48.9	12	0
effector_0	species_12	39.7	92.2	13	0
effector_0	species_13	41.1	59.5	14	0
effector_0	species_14	68.3	3.4	15	0
effector_0	species_15	40.6	77.7	16	0
effector_0	species_16	35.4	91.3	17	0
effector_0	species_17	39.5	66.5	18	0
effector_0	species_18	25.3	66	19	0
effector_0	species_19	33	29.3	20	0
effector_0	species_20	94.7	51.6	21	0
effector_0	species_21	63.6	12	22	0
effector_0	species_22	3.1	36.8	23	0
effector_0	species_23	21.3	59.4	24	0
effector_0	species_24	9.8	47.8	25	0
effector_0	species_25	0.3	27.2	26	0
effector_0	species_26	54.5	12.4	27	0
effector_0	species_27	45.2	45.4	28	0
effector_0	species_28	9.2	9.8	29	0
effector_0	species_29	44.5	66.8	30	0
effector_0	species_30	58.9	43.9	31	0
effector_0	species_31	34.7	0.6	32	0
effector_0	species_32	24.4	19.2	33	0
effector_0	species_33	17.1	66.2	34	0
effector_0	species_34	57.5	62.8	35	0
effector_0	species_35	89.4	74.6	36	0
effector_0	species_36	62.2	17.9	37	0
effector_0	species_37	46.9	11.6	38	0
effector_0	species_38	97.1	32.9	39	0
effector_1	species_0	59.7	33.7	40	1
effector_1	species_1	46	25.9	41	1
effector_1	species_2	39.4	88	42	1
effector_1	species_3	95	99.7	43	1
effector_1	species_4	62.3	9.1	44	1
effector_1	species_5	41.8	73.1	45	1
effector_1	species_6	94.5	55.4	46	1
effector_1	species_7	67.3	57.9	47	1
effector_1	species_8	85.5	2.8	48	1
effector_1	species_9	90.9	6.5	49	1
effector_1	species_10	55.8	73.7	50	1
effector_1	species_11	60.4	24.6	51	1
effector_1	species_12	28.8	42.3	52	1
effector_1	species_13	53.6	73	53	1
effector_1	species_14	80.1	48.4	54	1
effector_1	species_15	91.4	70.1	55	1
effector_1	species_16	53.3	24.1	56	1
effector_1	species_17	16.3	85.5	57	1
effector_1	species_18	46.6	99.9	58	1
effector_1	species_19	26.3	83.5	59	1
effector_1	species_20	85.8	76.1	60	1
effector_1	species_21	41.1	97	61	1
effector_1	species_22	62.5	81.2	62	1
effector_1	species_23	98.7	60	63	1
effector_1	species_24	76.3	57.5	64	1
effector_1	species_25	72	95.7	65	1
effector_1	species_26	20.6	30.2	66	1
effector_1	species_27	55.1	45.4	67	1
effector_1	species_28	36.9	95.9	68	1
effector_1	species_29	16.7	68.3	69	1
effector_1	species_30	59.5	64.9	70	1
effector_1	species_31	64.3	83.8	71	1
effector_1	species_32	38.2	3.2	72	1
effector_1	species_33	93.5	43.9	73	1
effector_1	species_34	43.1	11.3	74	1
effector_1	species_35	0.2	7.2	75	1
effector_1	species_36	90.5	45.8	76	1
effector_1	species_37	81.5	39.1	77	1
effector_1	species_38	18.5	27.5	78	1
effector_2	species_0	44.9	35	79	2
effector_2	species_1	84.2	70.4	80	2
effector_2	species_2	45.7	3.5	81	2
effector_2	species_3	70.9	79.6	82	2
effector_2	species_4	95.5	27	83	2
effector_2	species_5	60.9	5	84	2
effector_2	species_6	48	41.4	85	2
effector_2	species_7	78.4	99.2	86	2
effector_2	species_8	26.9	35.3	87	2
effector_2	species_9	20	89.1	88	2
effector_2	species_10	37.5	28.8	89	2
effector_2	species_11	38	39.5	90	2
effector_2	species_12	85.7	2.7	91	2
effector_2	species_13	81.2	88.4	92	2
effector_2	species_14	67.6	22.1	93	2
effector_2	species_15	54.7	76.3	94	2
effector_2	species_16	17.3	75.9	95	2
effector_2	species_17	39.3	37.3	96	2
effector_2	species_18	20.1	60	97	2
effector_2	species_19	92.8	36.4	98	2
effector_2	species_20	88.1	68	99	2
effector_2	species_21	8.3	30.9	100	2
effector_2	species_22	66.4	93.7	101	2
effector_2	species_23	20.8	35.1	102	2
effector_2	species_24	67.7	35.6	103	2
effector_2	species_25	97.2	33.8	104	2
effector_2	species_26	92.2	15.6	105	2
effector_2	species_27	75	14	106	2
effector_2	species_28	96.5	68.8	107	2
effector_2	species_29	65.5	3.3	108	2
effector_2	species_30	32.3	90.6	109	2
effector_2	species_31	34.8	9.5	110	2
effector_2	species_32	90.1	57	111	2
effector_2	species_33	73.7	49.6	112	2
effector_2	species_34	42.5	89.7	113	2
effector_2	species_35	93.7	11.6	114	2
effector_2	species_36	46.4	96.8	115	2
effector_2	species_37	27.3	89	116	2
effector_2	species_38	99.3	31.2	117	2
effector_3	species_0	50.6	13.3	118	3
effector_3	species_1	69.8	7.3	119	3
effector_3	species_2	59.5	61.8	120	3
effector_3	species_3	58.5	94.9	121	3
effector_3	species_4	29.7	78.8	122	3
effector_3	species_5	3.4	23.1	123	3
effector_3	species_6	97.8	60	124	3
effector_3	species_7	66.8	51.5	125	3
effector_3	species_8	71	64.9	126	3
effector_3	species_9	75.8	7.9	127	3
effector_3	species_10	7.4	97.2	128	3
effector_3	species_11	7.3	16.2	129	3
effector_3	species_12	59.9	24.8	130	3
effector_3	species_13	66.6	23.8	131	3
effector_3	species_14	79	50.7	132	3
effector_3	species_15	43.3	15.2	133	3
effector_3	species_16	14.3	37.2	134	3
effector_3	species_17	22	51.5	135	3
effector_3	species_18	12.9	24.3	136	3
effector_3	species_19	43.5	49.1	137	3
effector_3	species_20	21.3	81.6	138	3
effector_3	species_21	8.2	3.3	139	3
effector_3	species_22	93	18.3	140	3
effector_3	species_23	49.9	74.5	141	3
effector_3	species_24	100	98.3	142	3
effector_3	species_25	80.4	20.2	143	3
effector_3	species_26	62.1	5.3	144	3
effector_3	species_27	32.4	14.5	145	3
effector_3	species_28	57	13.1	146	3
effector_3	species_29	62	19.3	147	3
effector_3	species_30	6.8	47.9	148	3
