#sallacc	qacc	evalue	length	pident	qcovs	slen	seq.id	salltitles	species
AOU47713.1	AVR58_00040	0.0	419	100.000	100	419	419	AOU47713.1 hypothetical protein A9E85_00040 	L. pneumophila
KGP63791.1	AVR58_00040	0.0	422	73.223	100	407	419	KGP63791.1 hypothetical protein EP47_06120 	L. norrlandica
MBL7481563.1	AVR58_00040	1.20e-154	384	58.333	92	416	419	MBL7481563.1 hypothetical protein IZU94_16495 	L. sp. 27fs60
STY16230.1	AVR58_00040	1.47e-152	417	53.717	99	416	419	STY16230.1 Uncharacterised protein 	L. quateirensis
STX61107.1	AVR58_00040	2.12e-147	424	53.538	99	418	419	STX61107.1 Uncharacterised protein 	L. moravica
KTD64144.1	AVR58_00040	1.40e-145	423	52.955	99	412	419	KTD64144.1 hypothetical protein Lsha_0575 	L. shakespearei DSM 23087
STY32183.1	AVR58_00040	4.27e-111	398	44.724	94	399	419	STY32183.1 Uncharacterised protein 	L. worsleiensis
AOU47717.1	AVR58_00060	0.0	525	100.000	100	525	525	AOU47717.1 type IV secretion protein Dot 	L. pneumophila
KTD64150.1	AVR58_00060	0.0	520	70.385	99	542	525	KTD64150.1 Dot/Icm secretion system substrate 	L. shakespearei DSM 23087
STY16235.1	AVR58_00060	0.0	527	68.880	99	527	525	STY16235.1 Dot/Icm T4SS effector 	L. quateirensis
MBL7481558.1	AVR58_00060	0.0	527	68.311	99	527	525	MBL7481558.1 type IV secretion protein Dot 	L. sp. 27fs60
STX61112.1	AVR58_00060	0.0	509	68.566	97	527	525	STX61112.1 Dot/Icm T4SS effector 	L. moravica
SNU93768.1	AVR58_00060	0.0	527	66.793	100	526	525	SNU93768.1 Dot/Icm T4SS effector 	L. waltersii
CEK09143.1	AVR58_00060	0.0	534	56.554	99	534	525	CEK09143.1 substrate of the Dot/Icm secretion sytem 	L. hackeliae
ASQ47488.1	AVR58_00060	0.0	531	55.744	99	534	525	ASQ47488.1 hypothetical protein clem_14815 	L. clemsonensis
KTC84926.1	AVR58_00060	0.0	519	56.455	97	530	525	KTC84926.1 Dot/Icm secretion system substrate 	L. brunensis
WED42909.1	AVR58_00060	0.0	528	54.735	99	528	525	WED42909.1 type IV secretion protein Dot 	L. cardiaca
VEH11202.1	AVR58_00060	0.0	517	54.545	97	529	525	VEH11202.1 Dot/Icm T4SS effector 	L. jordanis
SFL61403.1	AVR58_00060	0.0	530	56.226	99	535	525	SFL61403.1 hypothetical protein SAMN02746073_1052 	L. jamestowniensis DSM 19215
STY24659.1	AVR58_00060	0.0	519	51.445	99	518	525	STY24659.1 Dot/Icm T4SS effector 	L. taurinensis
KTC94655.1	AVR58_00060	0.0	526	53.042	99	546	525	KTC94655.1 Dot/Icm secretion system substrate 	L. erythra
VEG91602.1	AVR58_00060	0.0	489	53.579	92	524	525	VEG91602.1 Dot/Icm T4SS effector 	L. spiritensis
CEG56508.1	AVR58_00060	6.10e-175	544	48.162	99	550	525	CEG56508.1 substrate of the Dot/Icm secretion sytem 	L. fallonii LLAP-10
KTD71461.1	AVR58_00060	1.41e-174	533	48.593	98	537	525	KTD71461.1 Dot/Icm secretion system substrate 	L. steelei
RUR23666.1	AVR58_00060	4.90e-170	531	46.704	98	538	525	RUR23666.1 hypothetical protein ELY20_06565 	L. qingyii
EHL32348.1	AVR58_00060	5.58e-170	541	48.244	99	537	525	EHL32348.1 hypothetical protein LDG_5732 	L. drancourtii LLAP12
STY31037.1	AVR58_00060	9.88e-169	536	47.201	99	540	525	STY31037.1 Dot/Icm T4SS effector 	L. wadsworthii
STY21760.1	AVR58_00060	1.66e-168	531	46.139	98	537	525	STY21760.1 Dot/Icm T4SS effector 	L. steigerwaltii
STO35248.1	AVR58_00060	2.55e-167	530	47.736	98	535	525	STO35248.1 Uncharacterised protein 	L. bozemanae
AWN75559.1	AVR58_00060	1.93e-165	534	47.940	99	535	525	AWN75559.1 hypothetical protein DLD14_17910 	L. anisa
STX77653.1	AVR58_00060	2.43e-164	525	48.000	97	534	525	STX77653.1 Dot/Icm T4SS effector 	L. parisiensis
MCL9684343.1	AVR58_00060	2.31e-162	545	45.872	99	537	525	MCL9684343.1 hypothetical protein LOX96_09580 	L. sp. HCPI-6
CEE14113.1	AVR58_00060	3.90e-161	533	45.591	99	534	525	CEE14113.1 hypothetical protein BN1094_02685 	L. massiliensis
USQ14691.1	AVR58_00060	3.03e-150	534	44.569	99	537	525	USQ14691.1 hypothetical protein J2N86_05140 	L. lytica
ASQ46604.1	AVR58_00060	1.57e-109	545	37.798	98	541	525	ASQ46604.1 hypothetical protein clem_10275 	L. clemsonensis
CEK09569.1	AVR58_00060	4.25e-102	545	34.862	98	540	525	CEK09569.1 conserved protein of unknown function 	L. hackeliae
VEH11766.1	AVR58_00060	1.38e-99	516	35.465	91	535	525	VEH11766.1 Dot/Icm T4SS effector 	L. jordanis
STX39222.1	AVR58_00060	8.45e-98	522	36.015	93	551	525	STX39222.1 Dot/Icm T4SS effector 	L. feeleii
AUH71716.1	AVR58_00060	3.27e-96	527	36.243	92	551	525	AUH71716.1 hypothetical protein CAB17_06290 	L. sainthelensi
STX33845.1	AVR58_00060	3.72e-96	524	35.496	91	553	525	STX33845.1 Dot/Icm T4SS effector 	L. cincinnatiensis
CBJ10763.1	AVR58_00060	9.74e-95	544	34.926	96	547	525	CBJ10763.1 hypothetical protein LLO_0432 	L. longbeachae NSW150
VEG92287.1	AVR58_00060	2.55e-92	548	35.766	97	541	525	VEG92287.1 Dot/Icm T4SS effector 	L. spiritensis
STX52624.1	AVR58_00060	3.26e-90	517	35.783	90	564	525	STX52624.1 Dot/Icm T4SS effector 	L. busanensis
KTD38842.1	AVR58_00060	1.17e-89	499	37.275	90	536	525	KTD38842.1 Dot/Icm secretion system substrate 	L. nautarum
KTC98884.1	AVR58_00060	4.79e-85	537	33.892	97	528	525	KTC98884.1 Dot/Icm secretion system substrate 	L. erythra
STY26925.1	AVR58_00060	5.69e-84	546	32.967	99	530	525	STY26925.1 Dot/Icm T4SS effector 	L. taurinensis
AOU47725.1	AVR58_00105	3.25e-112	159	100.000	100	159	159	AOU47725.1 hypothetical protein A9E85_00105 	L. pneumophila
STY16242.1	AVR58_00105	7.44e-94	158	81.646	99	159	159	STY16242.1 alpha helix protein 	L. quateirensis
KTD64156.1	AVR58_00105	1.29e-93	159	82.390	100	159	159	KTD64156.1 alpha helix protein 	L. shakespearei DSM 23087
MBL7481552.1	AVR58_00105	1.71e-93	158	81.646	99	159	159	MBL7481552.1 ribosome-associated protein 	L. sp. 27fs60
KGP63798.1	AVR58_00105	1.89e-91	159	81.132	100	159	159	KGP63798.1 hypothetical protein EP47_06165 	L. norrlandica
MCL9683143.1	AVR58_00105	5.42e-91	159	79.245	100	159	159	MCL9683143.1 ribosome-associated protein 	L. sp. HCPI-6
STX61117.1	AVR58_00105	5.72e-91	158	80.380	99	159	159	STX61117.1 alpha helix protein 	L. moravica
BCA93963.1	AVR58_00105	1.91e-90	159	78.616	100	159	159	BCA93963.1 hypothetical protein TUM19329_03240 	L. antarctica
KTD69498.1	AVR58_00105	1.45e-89	159	78.616	100	159	159	KTD69498.1 alpha helix protein 	L. steelei
STX71540.1	AVR58_00105	2.26e-87	159	77.987	100	159	159	STX71540.1 alpha helix protein 	L. parisiensis
STY21461.1	AVR58_00105	5.42e-87	159	76.730	100	159	159	STY21461.1 alpha helix protein 	L. steigerwaltii
STX40763.1	AVR58_00105	2.25e-85	158	74.051	99	159	159	STX40763.1 alpha helix protein 	L. gratiana
CEG55514.1	AVR58_00105	3.53e-85	159	74.843	100	159	159	CEG55514.1 conserved protein of unknown function 	L. fallonii LLAP-10
STY32177.1	AVR58_00105	1.23e-84	158	73.418	99	159	159	STY32177.1 alpha helix protein 	L. worsleiensis
SNU93853.1	AVR58_00105	1.75e-83	159	72.327	100	159	159	SNU93853.1 alpha helix protein 	L. waltersii
EHL32517.1	AVR58_00105	5.72e-82	158	80.380	99	159	159	EHL32517.1 hypothetical protein LDG_5473 	L. drancourtii LLAP12
USQ13789.1	AVR58_00105	7.86e-82	158	81.013	99	159	159	USQ13789.1 ribosome-associated protein 	L. lytica
STX36880.1	AVR58_00105	1.69e-79	158	72.152	99	158	159	STX36880.1 alpha helix protein 	L. feeleii
STY27862.1	AVR58_00105	2.17e-79	158	78.481	99	159	159	STY27862.1 alpha helix protein 	L. wadsworthii
STX40281.1	AVR58_00105	5.16e-79	158	71.519	99	158	159	STX40281.1 alpha helix protein 	L. donaldsonii
RUR23085.1	AVR58_00105	2.42e-78	159	76.101	100	159	159	RUR23085.1 ribosome-associated protein 	L. qingyii
STO32396.1	AVR58_00105	2.89e-78	158	77.215	99	159	159	STO32396.1 x96 protein 	L. bozemanae
AWN72846.1	AVR58_00105	3.44e-78	158	77.215	99	159	159	AWN72846.1 ribosome-associated protein 	L. anisa
KTD53535.1	AVR58_00105	4.47e-78	158	75.949	99	159	159	KTD53535.1 alpha helix protein 	L. santicrucis
STX33467.1	AVR58_00105	4.62e-77	158	74.051	99	159	159	STX33467.1 alpha helix protein 	L. cincinnatiensis
WED42904.1	AVR58_00105	1.82e-76	158	68.354	99	159	159	WED42904.1 ribosome biogenesis factor YjgA 	L. cardiaca
CBJ10371.1	AVR58_00105	1.94e-76	158	74.684	99	159	159	CBJ10371.1 putative conserved hypothetical protein 	L. longbeachae NSW150
AUH71411.1	AVR58_00105	5.37e-76	156	74.359	98	159	159	AUH71411.1 ribosome-associated protein 	L. sainthelensi
ASQ47484.1	AVR58_00105	9.40e-76	158	68.354	99	159	159	ASQ47484.1 hypothetical protein clem_14795 	L. clemsonensis
KTC84921.1	AVR58_00105	1.01e-75	158	67.722	99	159	159	KTC84921.1 alpha helix protein 	L. brunensis
SFL61469.1	AVR58_00105	6.61e-75	158	67.722	99	159	159	SFL61469.1 ribosome-associated protein 	L. jamestowniensis DSM 19215
CEK09148.1	AVR58_00105	7.69e-74	155	68.387	97	159	159	CEK09148.1 conserved protein of unknown function 	L. hackeliae
CEG59390.1	AVR58_00105	1.07e-73	158	68.354	99	159	159	CEG59390.1 conserved protein of unknown function 	L. micdadei
