#qacc	species	evalue	length	pident	qcovs	slen	seq.id	sallacc
AVR58_00040	L. pneumophila	0	419	100	100	419	AOU47713.1 hypothetical protein A9E85_00040 	AOU47713.1
AVR58_00040	L. norrlandica	0	422	73.223	100	407	KGP63791.1 hypothetical protein EP47_06120 	KGP63791.1
AVR58_00040	L. sp. 27fs60	1.20E-154	384	58.333	92	416	MBL7481563.1 hypothetical protein IZU94_16495 	MBL7481563.1
AVR58_00040	L. quateirensis	1.47E-152	417	53.717	99	416	STY16230.1 Uncharacterised protein 	STY16230.1
AVR58_00040	L. moravica	2.12E-147	424	53.538	99	418	STX61107.1 Uncharacterised protein 	STX61107.1
AVR58_00040	L. shakespearei DSM 23087	1.40E-145	423	52.955	99	412	KTD64144.1 hypothetical protein Lsha_0575 	KTD64144.1
AVR58_00040	L. waltersii	5.95E-133	353	54.391	84	422	SNU93736.1 Uncharacterised protein 	SNU93736.1
AVR58_00040	L. worsleiensis	4.27E-111	398	44.724	94	399	STY32183.1 Uncharacterised protein 	STY32183.1
AVR58_00040	L. sp. HCPI-6	2.77E-66	265	44.528	99	330	MCL9683131.1 hypothetical protein LOX96_03405 	MCL9683131.1
AVR58_00040	L. sp. HCPI-6	1.42E-47	259	41.313	99	330	MCL9683131.1 hypothetical protein LOX96_03405 	MCL9683131.1
AVR58_00040	L. antarctica	1.03E-65	240	46.667	99	335	BCA93974.1 hypothetical protein TUM19329_03350 	BCA93974.1
AVR58_00040	L. antarctica	4.98E-41	332	34.94	99	335	BCA93974.1 hypothetical protein TUM19329_03350 	BCA93974.1
AVR58_00040	L. bozemanae	3.08E-63	290	42.069	82	324	STO32367.1 Uncharacterised protein 	STO32367.1
AVR58_00040	L. bozemanae	4.74E-31	224	35.268	82	324	STO32367.1 Uncharacterised protein 	STO32367.1
AVR58_00040	L. parisiensis	6.60E-62	282	40.78	82	324	STX71527.1 Uncharacterised protein 	STX71527.1
AVR58_00040	L. parisiensis	1.65E-28	236	32.627	82	324	STX71527.1 Uncharacterised protein 	STX71527.1
AVR58_00040	L. anisa	8.53E-62	282	40.78	82	324	AWN72858.1 hypothetical protein DLD14_02825 	AWN72858.1
AVR58_00040	L. anisa	2.04E-30	264	32.576	82	324	AWN72858.1 hypothetical protein DLD14_02825 	AWN72858.1
AVR58_00040	L. steigerwaltii	7.85E-60	220	44.091	82	332	STY21441.1 Uncharacterised protein 	STY21441.1
AVR58_00040	L. steigerwaltii	9.38E-33	235	34.468	82	332	STY21441.1 Uncharacterised protein 	STY21441.1
AVR58_00040	L. steelei	2.01E-59	221	45.249	82	331	KTD69484.1 hypothetical protein Lste_2642 	KTD69484.1
AVR58_00040	L. steelei	1.27E-28	238	34.034	82	331	KTD69484.1 hypothetical protein Lste_2642 	KTD69484.1
AVR58_00040	L. qingyii	1.37E-58	228	43.86	82	325	RUR23071.1 hypothetical protein ELY20_07995 	RUR23071.1
AVR58_00040	L. qingyii	1.31E-32	223	34.529	82	325	RUR23071.1 hypothetical protein ELY20_07995 	RUR23071.1
AVR58_00040	L. santicrucis	3.70E-58	221	46.606	82	309	KTD53558.1 hypothetical protein Lsan_3968 	KTD53558.1
AVR58_00040	L. santicrucis	2.16E-25	256	33.203	82	309	KTD53558.1 hypothetical protein Lsan_3968 	KTD53558.1
AVR58_00040	L. cincinnatiensis	5.54E-58	221	46.606	82	309	STX33443.1 Uncharacterised protein 	STX33443.1
AVR58_00040	L. cincinnatiensis	3.92E-25	256	33.203	82	309	STX33443.1 Uncharacterised protein 	STX33443.1
AVR58_00040	L. sainthelensi	9.85E-58	221	47.964	82	309	AUH71386.1 hypothetical protein CAB17_04385 	AUH71386.1
