#sallacc	qacc	evalue	length	pident	qcovs	qcovhsp	salltitles	    species
AOU47713.1	AVR58_00040	0.0	419	100.000	100	100	AOU47713.1 hypothetical protein A9E85_00040 	L. pneumophila
KGP63791.1	AVR58_00040	0.0	422	73.223	100	100	KGP63791.1 hypothetical protein EP47_06120 	L. norrlandica
MBL7481563.1	AVR58_00040	1.20e-154	384	58.333	92	92	MBL7481563.1 hypothetical protein IZU94_16495 	L. sp. 27fs60
STY16230.1	AVR58_00040	1.47e-152	417	53.717	99	99	STY16230.1 Uncharacterised protein 	L. quateirensis
STX61107.1	AVR58_00040	2.12e-147	424	53.538	99	99	STX61107.1 Uncharacterised protein 	L. moravica
KTD64144.1	AVR58_00040	1.40e-145	423	52.955	99	99	KTD64144.1 hypothetical protein Lsha_0575 	L. shakespearei DSM 23087
SNU93736.1	AVR58_00040	5.95e-133	353	54.391	84	84	SNU93736.1 Uncharacterised protein 	L. waltersii
STY32183.1	AVR58_00040	4.27e-111	398	44.724	94	94	STY32183.1 Uncharacterised protein 	L. worsleiensis
MCL9683131.1	AVR58_00040	2.77e-66	265	44.528	99	63	MCL9683131.1 hypothetical protein LOX96_03405 	L. sp. HCPI-6
MCL9683131.1	AVR58_00040	1.42e-47	259	41.313	99	61	MCL9683131.1 hypothetical protein LOX96_03405 	L. sp. HCPI-6
BCA93974.1	AVR58_00040	1.03e-65	240	46.667	99	57	BCA93974.1 hypothetical protein TUM19329_03350 	L. antarctica
BCA93974.1	AVR58_00040	4.98e-41	332	34.940	99	76	BCA93974.1 hypothetical protein TUM19329_03350 	L. antarctica
STO32367.1	AVR58_00040	3.08e-63	290	42.069	82	68	STO32367.1 Uncharacterised protein 	L. bozemanae
STO32367.1	AVR58_00040	4.74e-31	224	35.268	82	52	STO32367.1 Uncharacterised protein 	L. bozemanae
STX71527.1	AVR58_00040	6.60e-62	282	40.780	82	66	STX71527.1 Uncharacterised protein 	L. parisiensis
STX71527.1	AVR58_00040	1.65e-28	236	32.627	82	54	STX71527.1 Uncharacterised protein 	L. parisiensis
AWN72858.1	AVR58_00040	8.53e-62	282	40.780	82	66	AWN72858.1 hypothetical protein DLD14_02825 	L. anisa
AWN72858.1	AVR58_00040	2.04e-30	264	32.576	82	61	AWN72858.1 hypothetical protein DLD14_02825 	L. anisa
STY21441.1	AVR58_00040	7.85e-60	220	44.091	82	52	STY21441.1 Uncharacterised protein 	L. steigerwaltii
STY21441.1	AVR58_00040	9.38e-33	235	34.468	82	54	STY21441.1 Uncharacterised protein 	L. steigerwaltii
KTD69484.1	AVR58_00040	2.01e-59	221	45.249	82	53	KTD69484.1 hypothetical protein Lste_2642 	L. steelei
KTD69484.1	AVR58_00040	1.27e-28	238	34.034	82	54	KTD69484.1 hypothetical protein Lste_2642 	L. steelei
RUR23071.1	AVR58_00040	1.37e-58	228	43.860	82	54	RUR23071.1 hypothetical protein ELY20_07995 	L. qingyii
RUR23071.1	AVR58_00040	1.31e-32	223	34.529	82	52	RUR23071.1 hypothetical protein ELY20_07995 	L. qingyii
KTD53558.1	AVR58_00040	3.70e-58	221	46.606	82	53	KTD53558.1 hypothetical protein Lsan_3968 	L. santicrucis
KTD53558.1	AVR58_00040	2.16e-25	256	33.203	82	58	KTD53558.1 hypothetical protein Lsan_3968 	L. santicrucis
STX33443.1	AVR58_00040	5.54e-58	221	46.606	82	53	STX33443.1 Uncharacterised protein 	L. cincinnatiensis
STX33443.1	AVR58_00040	3.92e-25	256	33.203	82	58	STX33443.1 Uncharacterised protein 	L. cincinnatiensis
AUH71386.1	AVR58_00040	9.85e-58	221	47.964	82	53	AUH71386.1 hypothetical protein CAB17_04385 	L. sainthelensi
